iter	Accuracy	Logloss
0	0.7038317488	0.6890545758
1	0.703255546	0.6861377019
2	0.7003745318	0.6827398976
3	0.7006626332	0.6795526531
4	0.6992221262	0.6763186909
5	0.6989340248	0.6733329025
6	0.6980697205	0.6703698975
7	0.6980697205	0.6679788321
8	0.6902909824	0.6656456191
9	0.6902909824	0.6635814541
10	0.6897147796	0.6609539177
11	0.6891385768	0.6579752734
12	0.6969173149	0.6551951113
13	0.6914433881	0.6532938867
14	0.694900605	0.6510901859
15	0.6923076923	0.6487120489
16	0.7041198502	0.6463642875
17	0.7044079516	0.6443977794
18	0.7015269375	0.6422459825
19	0.7006626332	0.6403600335
20	0.6995102276	0.6385740558
21	0.7021031403	0.6365689105
22	0.7026793431	0.63515525
23	0.704696053	0.6334760208
24	0.7029674445	0.6321047128
25	0.7026793431	0.630635047
26	0.704696053	0.6291747136
27	0.704696053	0.6275863621
28	0.7130509939	0.6263285483
29	0.7165082109	0.6254016026
30	0.7162201095	0.6241305448
31	0.7130509939	0.6226155817
32	0.7127628925	0.6210050576
33	0.7072889657	0.6200441228
34	0.7159320081	0.6184912423
35	0.7165082109	0.6172348254
36	0.7165082109	0.6161981877
37	0.7165082109	0.6147897505
38	0.7167963123	0.6135994684
39	0.7165082109	0.6127806305
40	0.7165082109	0.6120169266
41	0.7156439067	0.6108537258
42	0.7156439067	0.6095025559
43	0.7156439067	0.6084672558
44	0.7156439067	0.6072669101
45	0.7156439067	0.6063399392
46	0.7147796024	0.6051562535
47	0.7147796024	0.6039259228
48	0.7147796024	0.6027151881
49	0.7147796024	0.6017501983
50	0.7147796024	0.6005054052
51	0.7147796024	0.5991736917
52	0.7147796024	0.5979323702
53	0.7147796024	0.5971436252
54	0.7150677038	0.5961858169
55	0.7150677038	0.5951259889
56	0.7162201095	0.5940516039
57	0.7173725151	0.5929653411
58	0.7176606165	0.5918499308
59	0.7176606165	0.5910473554
60	0.7167963123	0.5902677312
61	0.7179487179	0.5896389778
62	0.7170844137	0.588976551
63	0.7173725151	0.5878952098
64	0.7216940363	0.5869651363
65	0.7216940363	0.5860511974
66	0.7216940363	0.5850121743
67	0.7219821377	0.5844204162
68	0.7219821377	0.5836177281
69	0.7222702391	0.582510641
70	0.7228464419	0.5814522413
71	0.724286949	0.58050206
72	0.724286949	0.5797869195
73	0.7231345434	0.5791328432
74	0.7225583405	0.5786530865
75	0.7222702391	0.57762883
76	0.7222702391	0.5771933433
77	0.7231345434	0.5765758315
78	0.7237107462	0.5759284326
79	0.724286949	0.5752203892
80	0.724286949	0.5747580576
81	0.724286949	0.5741678725
82	0.7248631518	0.5734911379
83	0.7245750504	0.572930653
84	0.7254393547	0.5722377131
85	0.7254393547	0.5716399088
86	0.7254393547	0.570747608
87	0.7263036589	0.5699287079
88	0.7271679631	0.5692413799
89	0.7268798617	0.5687470777
90	0.7265917603	0.5683294712
91	0.7274560645	0.5676825992
92	0.7274560645	0.567213077
93	0.7274560645	0.5666401103
94	0.7294727744	0.5660962349
95	0.7297608758	0.5653168962
96	0.729184673	0.5645756331
97	0.7286084702	0.5642092751
98	0.7286084702	0.5636120158
99	0.7286084702	0.5631978015
100	0.7306251801	0.5625172157
101	0.7312013829	0.5619968377
102	0.7323537885	0.5614682078
103	0.7326418899	0.5610301976
104	0.7329299914	0.5605833682
105	0.7335061942	0.559781947
106	0.7329299914	0.5593292628
107	0.7332180928	0.5587923962
108	0.7349467012	0.5582197714
109	0.7352348027	0.5575776089
110	0.7343704984	0.5571070484
111	0.734082397	0.5565434504
112	0.7337942956	0.5560045754
113	0.7360991069	0.5555029345
114	0.7366753097	0.5551162624
115	0.7369634111	0.5547576328
116	0.7378277154	0.554114698
117	0.7375396139	0.5534866738
118	0.7395563238	0.5528483599
119	0.7392682224	0.5524458809
120	0.7395563238	0.5521567948
121	0.738980121	0.551631338
122	0.7386920196	0.5511552553
123	0.7386920196	0.5505893207
124	0.738980121	0.5501376717
125	0.7415730337	0.5496482577
126	0.7412849323	0.5491922551
127	0.7415730337	0.5486364568
128	0.7427254394	0.5483701925
129	0.7430135408	0.5480406832
130	0.7435897436	0.5476904893
131	0.743877845	0.547260554
132	0.7441659464	0.5469724467
133	0.7441659464	0.5465533776
134	0.7444540478	0.546075673
135	0.7441659464	0.5454476638
136	0.7444540478	0.5449212858
137	0.7444540478	0.5444918454
138	0.7447421492	0.5440220474
139	0.7441659464	0.5436303561
140	0.7444540478	0.5431433875
141	0.7441659464	0.54267659
142	0.7447421492	0.5422592969
143	0.7450302506	0.5419198312
144	0.7450302506	0.541467592
145	0.7453183521	0.5410503545
146	0.7470469605	0.5406067345
147	0.7464707577	0.5401772567
148	0.7467588591	0.5396121836
149	0.7470469605	0.5391070535
150	0.7476231634	0.5385702317
151	0.7479112648	0.5382740878
152	0.7479112648	0.5379900842
153	0.7481993662	0.5377149232
154	0.7481993662	0.5374097678
155	0.7502160761	0.5370495975
156	0.7499279746	0.5367732782
157	0.7499279746	0.5363378463
158	0.7502160761	0.5360278265
159	0.7505041775	0.5355037095
160	0.7507922789	0.5351187235
161	0.7507922789	0.5347239044
162	0.7507922789	0.534295154
163	0.7507922789	0.5340051455
164	0.7505041775	0.5337730946
165	0.7505041775	0.533401742
166	0.7507922789	0.5330150978
167	0.7513684817	0.5326406106
168	0.7516565831	0.5321627909
169	0.7516565831	0.5320076787
170	0.7545375972	0.5316299071
171	0.7545375972	0.5314443206
172	0.7548256986	0.531159311
173	0.7551138001	0.5306681615
174	0.7542494958	0.5302085855
175	0.7545375972	0.529718585
176	0.7548256986	0.5292915975
177	0.7548256986	0.529116657
178	0.7548256986	0.5287696035
179	0.7554019015	0.5282884791
180	0.7556900029	0.5278260207
181	0.7556900029	0.5274787809
182	0.7554019015	0.5272327721
183	0.7554019015	0.526964364
184	0.7562662057	0.5267412434
185	0.758571017	0.5264444445
186	0.7588591184	0.5260655474
187	0.7588591184	0.5258362493
188	0.7591472198	0.5255708545
189	0.7594353212	0.5252388455
190	0.7594353212	0.5249531927
191	0.7594353212	0.5244223678
192	0.7594353212	0.5240698617
193	0.7594353212	0.5237662242
194	0.7594353212	0.5235370212
195	0.7597234226	0.5232786136
196	0.7594353212	0.5230514708
197	0.7600115241	0.5227633057
198	0.7600115241	0.522507776
199	0.7600115241	0.5223212417
200	0.7600115241	0.5219245089
201	0.7602996255	0.5213790244
202	0.7600115241	0.521076694
203	0.7608758283	0.5208118908
204	0.7626044368	0.5204946833
205	0.7626044368	0.5202192191
206	0.7628925382	0.5197673802
207	0.7628925382	0.5193408562
208	0.7626044368	0.5191152761
209	0.7628925382	0.5188186188
210	0.7628925382	0.5183134943
211	0.7628925382	0.5178971764
212	0.7617401325	0.5175525082
213	0.7620282339	0.5171533137
214	0.7620282339	0.5167715002
215	0.7623163354	0.5165403985
216	0.7623163354	0.5162815122
217	0.7623163354	0.5158357427
218	0.7623163354	0.5154739625
219	0.7626044368	0.5152158048
220	0.7626044368	0.514870849
221	0.7626044368	0.5146238815
222	0.7626044368	0.5142920363
223	0.7628925382	0.5139512447
224	0.7628925382	0.5136634843
225	0.7628925382	0.5133366514
226	0.7628925382	0.5129776042
227	0.7631806396	0.512559608
228	0.763468741	0.5121576969
229	0.7637568424	0.5118222961
230	0.7640449438	0.511558435
231	0.7646211466	0.5111486193
232	0.7651973495	0.5108603271
233	0.7654854509	0.5105634328
234	0.7657735523	0.5101730577
235	0.7654854509	0.5099797046
236	0.7654854509	0.5096587803
237	0.7654854509	0.5093576649
238	0.7657735523	0.5090038425
239	0.7654854509	0.5087430868
240	0.7654854509	0.5083424873
241	0.7657735523	0.5081910299
