iter	Passed	Remaining
0	21	105340
1	41	104431
2	62	104759
3	86	108563
4	109	108993
5	131	109643
6	137	98423
7	158	98897
8	180	99913
9	201	100402
10	222	100935
11	245	101986
12	268	103178
13	291	103929
14	317	105658
15	343	106854
16	368	107869
17	391	108267
18	412	108054
19	433	107838
20	454	107774
21	475	107562
22	496	107367
23	516	107175
24	536	106850
25	557	106594
26	582	107220
27	603	107138
28	624	107037
29	648	107392
30	671	107617
31	693	107677
32	714	107516
33	735	107361
34	756	107272
35	776	107121
36	798	107048
37	818	106908
38	839	106772
39	861	106790
40	883	106871
41	906	106998
42	928	107049
43	949	106936
44	970	106839
45	991	106772
46	1012	106701
47	1032	106533
48	1054	106579
49	1077	106691
50	1099	106734
51	1122	106836
52	1145	106903
53	1167	106938
54	1190	107039
55	1210	106898
56	1232	106893
57	1257	107173
58	1284	107597
59	1311	107990
60	1332	107927
61	1356	108068
62	1380	108150
63	1401	108069
64	1421	107948
65	1442	107843
66	1463	107727
67	1483	107595
68	1504	107512
69	1525	107414
70	1545	107284
71	1566	107215
72	1587	107149
73	1610	107177
74	1632	107200
75	1654	107199
76	1675	107136
77	1696	107061
78	1717	106974
79	1738	106916
80	1759	106876
81	1781	106847
82	1801	106746
83	1822	106665
84	1844	106633
85	1865	106574
86	1887	106570
87	1908	106519
88	1913	105606
89	1933	105472
90	1954	105447
91	1977	105513
92	2000	105552
93	2021	105485
94	2041	105411
95	2064	105451
96	2090	105649
97	2113	105740
98	2136	105767
99	2157	105720
100	2195	106495
101	2228	107012
102	2257	107345
103	2284	107524
104	2306	107536
105	2327	107457
106	2348	107414
107	2370	107371
108	2392	107366
109	2414	107317
110	2435	107269
111	2455	107181
112	2476	107093
113	2496	107002
114	2517	106928
115	2539	106923
116	2561	106906
117	2586	107029
118	2610	107093
119	2635	107185
120	2657	107158
121	2679	107124
122	2699	107045
123	2721	107019
124	2741	106934
125	2763	106893
126	2785	106886
127	2808	106887
128	2831	106925
129	2854	106924
130	2876	106928
131	2898	106892
132	2920	106862
133	2942	106846
134	2964	106819
135	2986	106799
136	3006	106722
137	3027	106672
138	3049	106632
139	3070	106576
140	3094	106622
141	3117	106653
142	3138	106612
143	3160	106575
144	3181	106526
145	3193	106180
146	3213	106103
147	3234	106051
148	3255	106004
149	3277	105968
150	3299	105953
151	3320	105916
152	3350	106137
153	3373	106164
154	3395	106149
155	3417	106106
156	3438	106065
157	3459	106010
158	3479	105953
159	3500	105893
160	3521	105850
161	3542	105798
162	3563	105735
163	3583	105675
164	3607	105699
165	3629	105706
166	3651	105683
167	3672	105638
168	3693	105593
169	3715	105555
170	3736	105516
171	3757	105484
172	3780	105479
173	3802	105462
174	3823	105421
175	3845	105411
176	3870	105454
177	3893	105463
178	3914	105422
179	3938	105454
180	3961	105461
181	3983	105456
182	4005	105442
183	4027	105413
184	4047	105350
185	4068	105295
186	4091	105303
187	4114	105323
188	4137	105317
189	4159	105306
190	4181	105276
191	4201	105217
192	4222	105179
193	4243	105127
194	4264	105092
195	4286	105068
196	4308	105047
197	4330	105031
198	4352	105016
199	4375	105004
200	4397	104984
201	4420	104999
202	4441	104966
203	4463	104927
204	4483	104872
205	4504	104837
206	4526	104801
207	4547	104774
208	4568	104719
209	4598	104899
210	4622	104906
211	4644	104904
212	4666	104868
213	4687	104826
214	4708	104789
215	4728	104733
216	4749	104682
217	4770	104645
218	4790	104587
219	4812	104565
220	4833	104518
221	4854	104486
222	4876	104472
223	4897	104422
224	4917	104364
225	4938	104322
226	4959	104276
227	4979	104225
228	5003	104237
229	5024	104206
230	5045	104172
231	5068	104156
232	5091	104162
233	5114	104167
234	5137	104174
235	5159	104157
236	5179	104099
237	5199	104041
238	5220	104002
239	5241	103953
240	5263	103934
241	5285	103917
242	5306	103887
243	5327	103836
244	5348	103805
245	5369	103776
246	5390	103736
247	5411	103694
248	5431	103643
249	5452	103605
250	5474	103580
251	5495	103543
252	5516	103496
253	5537	103459
254	5557	103414
255	5578	103368
256	5602	103404
257	5625	103391
258	5647	103384
259	5669	103353
260	5690	103331
261	5712	103298
262	5733	103260
263	5755	103257
264	5777	103239
265	5799	103221
266	5821	103198
267	5843	103172
268	5864	103147
269	5886	103122
270	5907	103085
271	5927	103039
272	5948	102998
273	5969	102956
274	5990	102919
275	6012	102914
276	6033	102869
277	6053	102827
278	6074	102783
279	6097	102787
280	6122	102811
281	6144	102792
282	6166	102781
283	6187	102747
284	6208	102711
285	6229	102675
286	6249	102628
287	6270	102590
288	6291	102560
289	6313	102536
290	6335	102521
291	6357	102511
292	6380	102507
293	6402	102483
294	6424	102464
295	6445	102429
296	6466	102390
297	6487	102365
298	6508	102329
299	6529	102291
300	6549	102249
301	6570	102208
302	6593	102213
303	6614	102173
304	6636	102151
305	6657	102130
306	6679	102107
307	6702	102106
308	6722	102059
309	6742	102010
310	6763	101972
311	6784	101942
312	6806	101917
313	6827	101889
314	6849	101878
315	6872	101874
316	6893	101839
317	6916	101834
318	6938	101816
319	6959	101786
320	6981	101757
321	7002	101735
322	7023	101694
323	7045	101674
324	7071	101723
325	7095	101734
326	7120	101756
327	7142	101740
328	7167	101763
329	7188	101726
330	7209	101694
331	7231	101674
332	7252	101644
333	7272	101599
334	7293	101560
335	7313	101521
336	7335	101502
337	7357	101486
338	7380	101470
339	7401	101443
340	7422	101411
341	7442	101371
342	7464	101342
343	7484	101297
344	7504	101253
345	7524	101208
346	7545	101177
347	7566	101151
348	7588	101127
349	7612	101136
350	7634	101114
351	7655	101091
352	7677	101070
353	7698	101041
354	7720	101019
355	7742	101002
356	7764	100987
357	7789	100999
358	7811	100989
359	7835	100992
360	7884	101324
361	7911	101357
362	7938	101403
363	7963	101430
364	7988	101447
365	8009	101413
366	8030	101379
367	8051	101339
368	8071	101304
369	8096	101311
370	8121	101332
371	8146	101348
372	8168	101328
373	8188	101287
374	8208	101242
375	8230	101213
376	8250	101172
377	8270	101132
378	8291	101098
379	8312	101064
380	8334	101044
381	8357	101038
382	8378	101001
383	8399	100972
384	8420	100935
385	8443	100922
386	8463	100888
387	8484	100856
388	8506	100830
389	8527	100800
390	8548	100768
391	8572	100775
392	8598	100798
393	8627	100861
394	8651	100865
395	8673	100840
396	8694	100808
397	8716	100789
398	8737	100760
399	8759	100733
400	8780	100696
401	8801	100665
402	8822	100632
403	8845	100630
404	8870	100637
405	8891	100613
406	8913	100592
407	8935	100564
408	8956	100536
409	8978	100510
410	8998	100475
411	9023	100483
412	9044	100456
413	9065	100424
414	9086	100394
415	9110	100391
416	9134	100395
417	9157	100386
418	9179	100364
419	9200	100327
420	9220	100291
421	9241	100255
422	9262	100224
423	9284	100198
424	9305	100166
425	9327	100149
426	9351	100151
427	9372	100121
428	9395	100106
429	9418	100096
430	9439	100068
431	9461	100047
432	9485	100042
433	9506	100019
434	9529	100000
435	9549	99963
436	9570	99932
437	9592	99906
438	9615	99900
439	9636	99873
440	9657	99840
441	9679	99815
442	9700	99781
443	9721	99752
444	9743	99732
445	9764	99701
446	9785	99668
447	9807	99647
448	9829	99635
449	9854	99640
450	9877	99630
451	9898	99595
452	9920	99576
453	9942	99556
454	9964	99535
455	9986	99512
456	10007	99486
457	10032	99491
458	10053	99461
459	10076	99446
460	10099	99434
461	10123	99436
462	10147	99432
463	10169	99413
464	10190	99381
465	10210	99344
466	10230	99304
467	10251	99269
468	10272	99243
469	10294	99216
470	10316	99195
471	10340	99194
472	10361	99171
473	10383	99144
474	10403	99105
475	10425	99088
476	10446	99053
477	10467	99028
478	10488	98996
479	10510	98969
480	10530	98937
481	10554	98935
482	10577	98919
483	10598	98888
484	10622	98888
485	10647	98894
486	10669	98869
487	10691	98849
488	10713	98830
489	10734	98798
490	10754	98762
491	10775	98735
492	10796	98702
493	10818	98684
494	10841	98672
495	10863	98650
